feature_id,coherence_score,top_words
7393,0.3354829009010197,"Ġgland, Ġglands, ysis, Ġgon, Ġcancers"
23889,0.33539421966450444,"neys, Ġkidney, ysis, Ġrenal, Ġmarrow"
10030,0.33385178564989043,"ĠParenthood, Ġfetal, natal, acent, Ġpregnancy"
20891,0.33369179137860966,"Ġvaccine, ĠVacc, eers, Ġinfected, Ġinfect"
2214,0.3252203810726385,"led, Ġchronic, ties, ĠChronic, enter"
13169,0.3117595144266085,"Ġcytok, Ġbowel, Ġinflammatory, Ġinflammation, Ġsore"
11300,0.3091008806579503,"Ġendot, Ġartery, Ġhypertension, Ġvessels, Ġvein"
15175,0.3063571962611907,"Ġanesthesia, Ġdoctors, Ġexaminer, Ġmedical, Ġprofessionals"
12210,0.304166797507642,"ormal, ertodd, geons, Ġpadd, Ġbrains"
14125,0.3029419926184455,"Ġplastic, Ġlitter, ĠSurgery, ĠOsaka, ĠPlastic"
18949,0.30007529651024983,"ele, ĠPatient, Ġpatient, ĠPatients, Ġwait"
1071,0.2881619961649497,"monary, Ġtransplant, Ġtranspl, ications, Ġpulmonary"
23518,0.2839646220049355,"aceous, Ġinfection, Ġinfections, iously, idious"
20568,0.28081802556475954,"ĠPain, Ġwounds, Ġtrauma, ĠDys, Ġtraumatic"
5677,0.2806097975241446,"Ġnervous, Ġanxious, Ġnerves, Ġapprehens, Ġanxiety"
16396,0.28011396979273384,"Ġsickness, Ġvisitation, Ġtherapy, Ġisolation, Ġradiation"
131,0.2787960386326425,"strings, burn, heart, stroke, bone"
454,0.2764096692410821,"ĠTreatment, treatment, Ġtreatment, reatment, Mania"
13218,0.27621718814996854,"Ġmell, Ġcancer, cancer, Ġdiagnosis, ĠMell"
23098,0.27492397561340265,"Ġnegligence, Ġprofessionals, Ġprofession, Ġmedical, idad"
14250,0.2717868733087606,"ĠTreatment, treatment, Ġtreatment, Mania, reatment"
19676,0.2677091873894908,"Ġtissue, ulus, cular, Ġmuscle, Bone"
879,0.2651475625368416,"iatric, iatrics, itutional, Ġpediatric, atal"
5607,0.2607321561658532,"Ġmell, ĠDiabetes, Ġinsulin, Ġglucose, ĠMell"
14260,0.260211325018385,"ĠÂ®, Ġchemotherapy, ĠSurgery, otherapy, Ġtreatments"
9540,0.2554048941947556,"Ġtumor, Ġtumors, Ġcancer, Ġtissue, Ġtum"
455,0.25294674420543917,"odynamics, istry, Ġtextbooks, biology, Ġtextbook"
13379,0.24069453200717286,"burn, strings, Ġheart, Ġartery, ache"
16181,0.23957061736463803,"oma, Bay, Ġcancer, Ġtumors, ĠCancer"
7251,0.23726858449658714,"Ġtumor, Ġtumors, Ġmast, Ġtissue, Ġstrains"
675,0.23669967400881334,"Ġinterf, Ġnervous, ĠImmunity, Ġintra, Ġimmune"
10635,0.23667198963331704,"ptoms, ĠSymptoms, Ġsymptoms, Ġsymptom, Sym"
15409,0.23010932136561593,"strings, Ġheart, beat, rend, emed"
10384,0.22775158908146467,"Ġlesions, Ġtumors, Ġtumor, Ġpatients, ĠPatients"
471,0.22078851714469103,"Ġdepression, ĠWilhelm, Ġrelapse, idepress, ĠDepression"
12232,0.20762982278578232,"pread, algia, olars, opathy, ukemia"
11644,0.20463914564866084,"iation, ĠRadiation, Ġradiation, rad, Ġirrad"
14027,0.2043556363282807,"ĠFever, ĠLeone, Ġfever, iasis, Ġoutbreak"
14042,0.1957123955473148,"Ġlung, nuts, ulously, ĠLung, bed"
20277,0.1944666823726086,"ĠPatients, Ġpatients, ients, Ġpatient, rooms"
11320,0.19127606395976185,"bone, tie, bones, Ġspinal, Ġspine"
21935,0.17482741872709553,"ĠPatients, Ġpatients, ients, Ġpatient, rooms"
8526,0.17019077262927765,"Ġrenal, Ġkidneys, Ġkidney, DEN, Ġtub"
16783,0.16564137054703032,"Ġcardiovascular, Ġhypertension, Ġhypert, Ġmell, iovascular"
19441,0.1603721672662708,"Ġfractures, Ġfracture, Ġoste, bite, ĠCortex"
5354,0.15535924617572008,"Ġinertia, Ġartery, abolic, Ġarrest, Ġlivest"
7654,0.14715424074322309,"bite, ĠShroud, worthiness, AIDS, ĠSurgery"
15358,0.1380198090523994,"ĠSurgery, ĠPatients, Cut, ĠProxy, ptic"
7448,0.1372017901295658,"ournals, doi, ĠRapp, Ġdoctoral, itsch"
6263,0.1329685880766961,"Ġchem, chem, otherapy, Ġchemotherapy, icals"
11433,0.13252735476823368,"Ġarteries, Ġcentrally, Ġcentral, Ġartery, Ġnervous"
8520,0.13060834993537057,"Ġvision, Ġvas, Ġkidney, Ġlymph, stem"
3395,0.12013677955355904,"ĠScots, ĠBloody, ĠBones, blooded, ĠHills"
8644,0.0746137218261594,"oma, omas, Wan, Ġtumors, oom"
19829,0.0710418494981136,"sonian, Ġblah, Ġhemorrh, dot, aez"
23010,0.04890014025940981,"Ġlesions, ises, Ġslopes, isers, ising"
18861,0.013389954208447557,"esville, itals, Ġoutpatient, ĠPatients, itone"
22855,-0.18608188113677407,"ogen, ococ, cancer, ogens, ogene"
