feature_id,coherence_score,top_words
2585,0.29714254745679824,"Ġartery, Ġarteries, Ġcoronary, Ġvascular, Ġarter"
19317,0.29102677304833735,"Ġjoints, ĠJoint, Ġbuds, Ġarthritis, Ġjoint"
20359,0.2862367426344456,"Ġinterventions, Ġinterrogation, Ġtreatment, Ġcare, Ġtreatments"
1509,0.2847153001028302,"ĠSurgery, Ġsurgery, Ġsurgeries, ĠRedux, Ġmedically"
12324,0.281594616373453,"Ġtumors, Ġglands, Ġgland, Ġimplants, Ġcancers"
780,0.28066871995046755,"Ġbacteria, Ġmicrobi, Ġinfection, bial, Ġinfections"
17813,0.2735623738755,"monary, Ġlungs, Ġrespiratory, Ġcavity, Ġinhal"
3625,0.27143931297856544,"monary, Ġpulmonary, Ġhypertension, Ġresusc, Ġartery"
11379,0.2674524891424901,"Ġgenetic, Ġirrad, Ġancestry, Ġprofiling, Ġdestiny"
11822,0.2605942140991703,"Ġsore, ĠLeone, Ġhemorrh, ĠFever, Ġfever"
7672,0.2605261381191249,"strings, burn, heart, stroke, rend"
21680,0.2558653652404378,"plate, Ġheart, nuts, bone, Ġmarrow"
17560,0.25556866932710676,"Ġtumor, Ġtumors, Ġmast, Ġcancer, ous"
8138,0.254121703291032,"Ġhemorrh, ĠImmun, Ġcirculation, Ġendot, Ġwound"
7338,0.2520075714096707,"cular, ulus, flex, ĠShoals, Ġmuscle"
215,0.250064387350306,"ĠRooms, apist, ĠTherapy, otherapy, Ġtherapy"
5166,0.24762185181296273,"ĠTreatment, treatment, Ġtreatment, reatment, Mania"
20294,0.24031402555845216,"Ġrenal, Ġbladder, Ġkidney, der, Ġkidneys"
11364,0.237977947492007,"Ġchem, Ġchemotherapy, Ġtreatments, Ġdecomp, Ġtreatment"
4032,0.2325623027704349,"ãĥĥãĤ¯, Ġobservational, Ġartery, Ġcoronary, Ġmorbid"
18897,0.2321283930240988,"Ġconfinement, Ġisolation, Ġquarantine, Ġquarters, Ġcontainment"
254,0.23115328514107292,"Ġlymph, é£, Ġmuc, Ġinflammation, Ġacute"
7826,0.2306413275923224,"Ġcytok, Ġbowel, Ġinflammatory, lamm, Ġinfiltrate"
18585,0.2043115011331286,"cular, ulus, Ġcontraction, Ġtissue, Ġrelax"
21690,0.20344996181076086,"Ġmell, Ġdiabetic, Ġhypert, ĠMell, enegger"
16411,0.19810774350347368,"Ġdisorders, heimer, Ġworsen, Ġpatients, Ġsuff"
19935,0.19629374351202059,"ĠPatients, Ġpatients, ients, Ġpatient, rooms"
11147,0.19587888610053644,"ĠPatients, Ġpatients, ients, Ġpatient, rooms"
4997,0.18114186167682053,"Ġtumor, Ġtumors, Ġtissue, Ġbed, Ġbeds"
22025,0.1747901100443023,"Ġdysfunction, ergic, phrine, Ġtumors, ĠZucker"
18069,0.17471478112006641,"sheet, Ġstrokes, Ġspectrum, Ġcirculation, Ġschizophrenia"
24508,0.17427500297940815,"ĠPatients, Ġpatients, ients, Ġpatient, rooms"
19006,0.15688270046403177,"Ġdepression, ĠDepression, Ġrelapse, ĠWilhelm, Ġdepressed"
15920,0.1532190645190524,"Ġcancer, Ġpancreat, cancer, Ġrenal, sburg"
7539,0.1475842974386326,"Ġstroke, stroke, Ġstrokes, ĠStro, Pacific"
13118,0.13898659643271782,"Ġincub, maid, illin, Ġquarters, ĠGuinea"
8048,0.13321118033377294,"Ġarteries, Ġcentrally, Ġcentral, Ġartery, ization"
1581,0.13085606645406297,"ĠPatients, iovascular, Ġoutpatient, esville, ĠRTX"
4639,0.12784310015280742,"Ġarter, Ġartery, Ġarteries, Ġathe, Ġendot"
23488,0.1220816944927553,"ĠScots, ĠBloody, False, ĠBones, blooded"
24430,0.11938469704189421,",,,,, Ġkidneys, Ġ///, roxy, ierrez"
21870,0.08139046399845166,"Ġitch, Ġsuff, Ġarthritis, Ġasthma, Ġmell"
7566,0.07909986868196893,"oma, Ġtumors, omas, Wan, Bay"
7261,0.06543288433563843,"ĠParenthood, Ġplacing, wic, ĠChel, Ġtumors"
8749,0.06153612145227957,"iology, utics, istry, ĠGenetics, anship"
